date,restaurant_id,restaurant_location,item_id,item_name,category,units_sold,selling_price,discount,promotion_flag,day_of_week,weekend_flag,holiday_flag,weather_condition,temperature,special_event,inventory_available,waste_units,stockout_flag,true_demand
2025-01-01,R01,Bengaluru - Koramangala,I13,Tandoori Roti,Breads,147,30.0,0.0,0,2,0,1,Rainy,17.0,0,147,0,1,153
2025-01-01,R01,Bengaluru - Koramangala,I14,Laccha Paratha,Breads,50,50.0,0.0,0,2,0,1,Rainy,17.0,0,89,39,0,50
2025-01-01,R01,Bengaluru - Koramangala,I15,Chicken 65,Starters,71,219.0,0.0,0,2,0,1,Rainy,17.0,0,87,16,0,71
2025-01-01,R01,Bengaluru - Koramangala,I16,Paneer Tikka,Starters,53,199.0,0.0,0,2,0,1,Rainy,17.0,0,63,10,0,53
2025-01-01,R01,Bengaluru - Koramangala,I17,Veg Spring Rolls,Starters,57,159.0,0.0,0,2,0,1,Rainy,17.0,0,57,0,1,65
2025-01-01,R01,Bengaluru - Koramangala,I18,Chicken Lollipop,Starters,34,229.0,0.0,0,2,0,1,Rainy,17.0,0,53,19,0,34
2025-01-01,R01,Bengaluru - Koramangala,I19,Gulab Jamun,Desserts,71,89.0,0.0,0,2,0,1,Rainy,17.0,0,89,18,0,71
2025-01-01,R01,Bengaluru - Koramangala,I20,Rasmalai,Desserts,45,99.0,0.0,0,2,0,1,Rainy,17.0,0,62,17,0,45
2025-01-01,R01,Bengaluru - Koramangala,I21,Gajar Halwa,Desserts,35,109.0,0.0,0,2,0,1,Rainy,17.0,0,41,6,0,35
2025-01-01,R01,Bengaluru - Koramangala,I22,Ice Cream Sundae,Desserts,24,129.0,0.0,0,2,0,1,Rainy,17.0,0,37,13,0,24
2025-01-01,R01,Bengaluru - Koramangala,I23,Masala Chai,Beverages,254,40.0,0.0,0,2,0,1,Rainy,17.0,0,278,24,0,254
2025-01-01,R01,Bengaluru - Koramangala,I24,Cold Coffee,Beverages,57,99.0,0.0,0,2,0,1,Rainy,17.0,0,85,28,0,57
2025-01-01,R01,Bengaluru - Koramangala,I25,Fresh Lime Soda,Beverages,58,69.0,0.0,0,2,0,1,Rainy,17.0,0,58,0,0,58
2025-01-01,R01,Bengaluru - Koramangala,I26,Mango Lassi,Beverages,31,89.0,0.0,0,2,0,1,Rainy,17.0,0,60,29,0,31
2025-01-01,R01,Bengaluru - Koramangala,I27,Mineral Water,Beverages,116,30.0,0.0,0,2,0,1,Rainy,17.0,0,146,30,0,116
2025-01-01,R01,Bengaluru - Koramangala,I28,Veg Fried Rice,Biryani & Rice,10,179.0,0.0,0,2,0,1,Rainy,17.0,0,48,38,0,10
2025-01-01,R01,Bengaluru - Koramangala,I29,Chicken Fried Rice,Biryani & Rice,51,219.0,0.0,0,2,0,1,Rainy,17.0,0,53,2,0,51
2025-01-01,R01,Bengaluru - Koramangala,I30,Soup of the Day,Starters,48,129.0,0.0,0,2,0,1,Rainy,17.0,0,71,23,0,48
2025-01-01,R02,Pune - Kalyani Nagar,I01,Chicken Biryani,Biryani & Rice,78,249.0,0.0,0,2,0,1,Rainy,17.0,0,126,48,0,78
2025-01-01,R02,Pune - Kalyani Nagar,I02,Veg Biryani,Biryani & Rice,86,199.0,0.0,0,2,0,1,Rainy,17.0,0,88,2,0,86
2025-01-01,R02,Pune - Kalyani Nagar,I03,Mutton Biryani,Biryani & Rice,21,329.0,0.0,0,2,0,1,Rainy,17.0,0,51,30,0,21
2025-01-01,R02,Pune - Kalyani Nagar,I04,Jeera Rice,Biryani & Rice,19,149.0,0.0,0,2,0,1,Rainy,17.0,0,43,24,0,19
2025-01-01,R02,Pune - Kalyani Nagar,I05,Butter Chicken,Main Course,89,269.0,0.0,0,2,0,1,Rainy,17.0,0,111,22,0,89
2025-01-01,R02,Pune - Kalyani Nagar,I06,Paneer Butter Masala,Main Course,69,229.0,0.0,0,2,0,1,Rainy,17.0,0,101,32,0,69
2025-01-01,R02,Pune - Kalyani Nagar,I07,Dal Makhani,Main Course,24,179.0,0.0,0,2,0,1,Rainy,17.0,0,64,40,0,24
2025-01-01,R02,Pune - Kalyani Nagar,I08,Chicken Tikka Masala,Main Course,50,259.0,0.0,0,2,0,1,Rainy,17.0,0,92,42,0,50
2025-01-01,R02,Pune - Kalyani Nagar,I09,Palak Paneer,Main Course,44,209.0,0.0,0,2,0,1,Rainy,17.0,0,47,3,0,44
2025-01-01,R02,Pune - Kalyani Nagar,I10,Kadai Chicken,Main Course,35,249.0,0.0,0,2,0,1,Rainy,17.0,0,50,15,0,35
2025-01-01,R02,Pune - Kalyani Nagar,I11,Butter Naan,Breads,132,45.0,0.0,0,2,0,1,Rainy,17.0,0,132,0,1,137
2025-01-01,R02,Pune - Kalyani Nagar,I12,Garlic Naan,Breads,59,55.0,0.0,0,2,0,1,Rainy,17.0,0,87,28,0,59
2025-01-01,R02,Pune - Kalyani Nagar,I13,Tandoori Roti,Breads,71,30.0,0.0,0,2,0,1,Rainy,17.0,0,123,52,0,71
2025-01-01,R02,Pune - Kalyani Nagar,I14,Laccha Paratha,Breads,47,50.0,0.0,0,2,0,1,Rainy,17.0,0,72,25,0,47
2025-01-01,R02,Pune - Kalyani Nagar,I15,Chicken 65,Starters,51,219.0,0.0,0,2,0,1,Rainy,17.0,0,73,22,0,51
2025-01-01,R02,Pune - Kalyani Nagar,I16,Paneer Tikka,Starters,56,199.0,0.0,0,2,0,1,Rainy,17.0,0,56,0,1,58
2025-01-01,R02,Pune - Kalyani Nagar,I17,Veg Spring Rolls,Starters,15,159.0,0.0,0,2,0,1,Rainy,17.0,0,42,27,0,15
2025-01-01,R02,Pune - Kalyani Nagar,I18,Chicken Lollipop,Starters,42,229.0,0.0,0,2,0,1,Rainy,17.0,0,42,0,1,45
2025-01-01,R02,Pune - Kalyani Nagar,I19,Gulab Jamun,Desserts,63,89.0,0.0,0,2,0,1,Rainy,17.0,0,78,15,0,63
2025-01-01,R02,Pune - Kalyani Nagar,I20,Rasmalai,Desserts,35,99.0,0.0,0,2,0,1,Rainy,17.0,0,41,6,0,35
2025-01-01,R02,Pune - Kalyani Nagar,I21,Gajar Halwa,Desserts,12,109.0,0.0,0,2,0,1,Rainy,17.0,0,35,23,0,12
2025-01-01,R02,Pune - Kalyani Nagar,I22,Ice Cream Sundae,Desserts,12,129.0,0.0,0,2,0,1,Rainy,17.0,0,19,7,0,12
2025-01-01,R02,Pune - Kalyani Nagar,I23,Masala Chai,Beverages,77,40.0,0.0,0,2,0,1,Rainy,17.0,0,181,104,0,77
2025-01-01,R02,Pune - Kalyani Nagar,I24,Cold Coffee,Beverages,48,99.0,0.0,0,2,0,1,Rainy,17.0,0,48,0,1,75
2025-01-01,R02,Pune - Kalyani Nagar,I25,Fresh Lime Soda,Beverages,28,69.0,0.0,0,2,0,1,Rainy,17.0,0,46,18,0,28
2025-01-01,R02,Pune - Kalyani Nagar,I26,Mango Lassi,Beverages,42,89.0,0.0,0,2,0,1,Rainy,17.0,0,49,7,0,42
2025-01-01,R02,Pune - Kalyani Nagar,I27,Mineral Water,Beverages,93,30.0,0.0,0,2,0,1,Rainy,17.0,0,112,19,0,93
2025-01-01,R02,Pune - Kalyani Nagar,I28,Veg Fried Rice,Biryani & Rice,28,179.0,0.0,0,2,0,1,Rainy,17.0,0,28,0,0,28
2025-01-01,R02,Pune - Kalyani Nagar,I29,Chicken Fried Rice,Biryani & Rice,25,219.0,0.0,0,2,0,1,Rainy,17.0,0,32,7,0,25
2025-01-01,R02,Pune - Kalyani Nagar,I30,Soup of the Day,Starters,44,129.0,0.0,0,2,0,1,Rainy,17.0,0,50,6,0,44
2025-01-01,R03,Hyderabad - Gachibowli,I01,Chicken Biryani,Biryani & Rice,150,249.0,0.0,0,2,0,1,Rainy,17.0,0,169,19,0,150
2025-01-01,R03,Hyderabad - Gachibowli,I02,Veg Biryani,Biryani & Rice,59,199.0,0.0,0,2,0,1,Rainy,17.0,0,68,9,0,59
2025-01-01,R03,Hyderabad - Gachibowli,I03,Mutton Biryani,Biryani & Rice,41,329.0,0.0,0,2,0,1,Rainy,17.0,0,60,19,0,41
2025-01-01,R03,Hyderabad - Gachibowli,I04,Jeera Rice,Biryani & Rice,30,149.0,0.0,0,2,0,1,Rainy,17.0,0,38,8,0,30
2025-01-01,R03,Hyderabad - Gachibowli,I05,Butter Chicken,Main Course,97,269.0,0.0,0,2,0,1,Rainy,17.0,0,116,19,0,97
2025-01-01,R03,Hyderabad - Gachibowli,I06,Paneer Butter Masala,Main Course,27,229.0,0.0,0,2,0,1,Rainy,17.0,0,91,64,0,27
2025-01-01,R03,Hyderabad - Gachibowli,I07,Dal Makhani,Main Course,62,179.0,0.0,0,2,0,1,Rainy,17.0,0,64,2,0,62
2025-01-01,R03,Hyderabad - Gachibowli,I08,Chicken Tikka Masala,Main Course,46,259.0,0.0,0,2,0,1,Rainy,17.0,0,106,60,0,46
2025-01-01,R03,Hyderabad - Gachibowli,I09,Palak Paneer,Main Course,39,209.0,0.0,0,2,0,1,Rainy,17.0,0,45,6,0,39
2025-01-01,R03,Hyderabad - Gachibowli,I10,Kadai Chicken,Main Course,37,249.0,0.0,0,2,0,1,Rainy,17.0,0,54,17,0,37
2025-01-01,R03,Hyderabad - Gachibowli,I11,Butter Naan,Breads,135,45.0,0.0,0,2,0,1,Rainy,17.0,0,154,19,0,135
2025-01-01,R03,Hyderabad - Gachibowli,I12,Garlic Naan,Breads,86,55.0,0.0,0,2,0,1,Rainy,17.0,0,86,0,1,99
2025-01-01,R03,Hyderabad - Gachibowli,I13,Tandoori Roti,Breads,119,30.0,0.0,0,2,0,1,Rainy,17.0,0,119,0,1,135
2025-01-01,R03,Hyderabad - Gachibowli,I14,Laccha Paratha,Breads,38,50.0,0.0,0,2,0,1,Rainy,17.0,0,62,24,0,38
2025-01-01,R03,Hyderabad - Gachibowli,I15,Chicken 65,Starters,79,219.0,0.0,0,2,0,1,Rainy,17.0,0,79,0,1,99
2025-01-01,R03,Hyderabad - Gachibowli,I16,Paneer Tikka,Starters,48,199.0,0.0,0,2,0,1,Rainy,17.0,0,69,21,0,48
2025-01-01,R03,Hyderabad - Gachibowli,I17,Veg Spring Rolls,Starters,38,159.0,0.0,0,2,0,1,Rainy,17.0,0,49,11,0,38
2025-01-01,R03,Hyderabad - Gachibowli,I18,Chicken Lollipop,Starters,21,229.0,0.0,0,2,0,1,Rainy,17.0,0,44,23,0,21
2025-01-01,R03,Hyderabad - Gachibowli,I19,Gulab Jamun,Desserts,35,89.0,0.0,0,2,0,1,Rainy,17.0,0,86,51,0,35
2025-01-01,R03,Hyderabad - Gachibowli,I20,Rasmalai,Desserts,26,99.0,0.0,0,2,0,1,Rainy,17.0,0,62,36,0,26
2025-01-01,R03,Hyderabad - Gachibowli,I21,Gajar Halwa,Desserts,28,109.0,0.0,0,2,0,1,Rainy,17.0,0,38,10,0,28
2025-01-01,R03,Hyderabad - Gachibowli,I22,Ice Cream Sundae,Desserts,18,129.0,0.0,0,2,0,1,Rainy,17.0,0,25,7,0,18
2025-01-01,R03,Hyderabad - Gachibowli,I23,Masala Chai,Beverages,166,40.0,0.0,0,2,0,1,Rainy,17.0,0,171,5,0,166
2025-01-01,R03,Hyderabad - Gachibowli,I24,Cold Coffee,Beverages,32,99.0,0.0,0,2,0,1,Rainy,17.0,0,57,25,0,32
2025-01-01,R03,Hyderabad - Gachibowli,I25,Fresh Lime Soda,Beverages,42,69.0,0.0,0,2,0,1,Rainy,17.0,0,49,7,0,42
2025-01-01,R03,Hyderabad - Gachibowli,I26,Mango Lassi,Beverages,43,89.0,0.0,0,2,0,1,Rainy,17.0,0,45,2,0,43
2025-01-01,R03,Hyderabad - Gachibowli,I27,Mineral Water,Beverages,57,30.0,0.0,0,2,0,1,Rainy,,0,118,61,0,57
2025-01-01,R03,Hyderabad - Gachibowli,I28,Veg Fried Rice,Biryani & Rice,14,179.0,0.0,0,2,0,1,Rainy,17.0,0,38,24,0,14
2025-01-01,R03,Hyderabad - Gachibowli,I29,Chicken Fried Rice,Biryani & Rice,26,219.0,0.0,0,2,0,1,Rainy,17.0,0,47,21,0,26
2025-01-01,R03,Hyderabad - Gachibowli,I30,Soup of the Day,Starters,39,129.0,0.0,0,2,0,1,Rainy,17.0,0,43,4,0,39
2025-01-02,R01,Bengaluru - Koramangala,I01,Chicken Biryani,Biryani & Rice,72,249.0,0.0,0,3,0,0,Cloudy,22.8,0,120,48,0,72
2025-01-02,R01,Bengaluru - Koramangala,I02,Veg Biryani,Biryani & Rice,49,199.0,0.0,0,3,0,0,Cloudy,22.8,0,84,35,0,49
2025-01-02,R01,Bengaluru - Koramangala,I03,Mutton Biryani,Biryani & Rice,30,329.0,0.0,0,3,0,0,Cloudy,22.8,0,53,23,0,30
2025-01-02,R01,Bengaluru - Koramangala,I04,Jeera Rice,Biryani & Rice,38,149.0,0.0,0,3,0,0,Cloudy,22.8,0,47,9,0,38
2025-01-02,R01,Bengaluru - Koramangala,I05,Butter Chicken,Main Course,60,269.0,0.0,0,3,0,0,Cloudy,22.8,0,82,22,0,60
2025-01-02,R01,Bengaluru - Koramangala,I06,Paneer Butter Masala,Main Course,72,229.0,0.0,0,3,0,0,Cloudy,22.8,0,73,1,0,72
2025-01-02,R01,Bengaluru - Koramangala,I07,Dal Makhani,Main Course,32,179.0,0.0,0,3,0,0,Cloudy,22.8,0,50,18,0,32
2025-01-02,R01,Bengaluru - Koramangala,I08,Chicken Tikka Masala,Main Course,65,259.0,0.0,0,3,0,0,Cloudy,22.8,0,65,0,1,83
2025-01-02,R01,Bengaluru - Koramangala,I09,Palak Paneer,Main Course,41,209.0,0.0,0,3,0,0,Cloudy,22.8,0,43,2,0,41
2025-01-02,R01,Bengaluru - Koramangala,I10,Kadai Chicken,Main Course,36,249.0,0.0,0,3,0,0,Cloudy,22.8,0,50,14,0,36
2025-01-02,R01,Bengaluru - Koramangala,I11,Butter Naan,Breads,79,45.0,0.0,0,3,0,0,Cloudy,22.8,0,110,31,0,79
2025-01-02,R01,Bengaluru - Koramangala,I12,Garlic Naan,Breads,35,55.0,0.0,0,3,0,0,Cloudy,22.8,0,91,56,0,35
2025-01-02,R01,Bengaluru - Koramangala,I13,Tandoori Roti,Breads,74,30.0,0.0,0,3,0,0,Cloudy,22.8,0,95,21,0,74
2025-01-02,R01,Bengaluru - Koramangala,I14,Laccha Paratha,Breads,45,50.0,0.0,0,3,0,0,Cloudy,22.8,0,72,27,0,45
2025-01-02,R01,Bengaluru - Koramangala,I15,Chicken 65,Starters,83,219.0,0.0,0,3,0,0,Cloudy,22.8,0,99,16,0,83
2025-01-02,R01,Bengaluru - Koramangala,I16,Paneer Tikka,Starters,42,199.0,0.0,0,3,0,0,Cloudy,22.8,0,58,16,0,42
2025-01-02,R01,Bengaluru - Koramangala,I17,Veg Spring Rolls,Starters,24,159.0,0.0,0,3,0,0,Cloudy,22.8,0,31,7,0,24
2025-01-02,R01,Bengaluru - Koramangala,I18,Chicken Lollipop,Starters,20,229.0,0.0,0,3,0,0,Cloudy,22.8,0,37,17,0,20
2025-01-02,R01,Bengaluru - Koramangala,I19,Gulab Jamun,Desserts,39,89.0,0.0,0,3,0,0,Cloudy,22.8,0,63,24,0,39
2025-01-02,R01,Bengaluru - Koramangala,I20,Rasmalai,Desserts,18,99.0,0.0,0,3,0,0,Cloudy,22.8,0,44,26,0,18
2025-01-02,R01,Bengaluru - Koramangala,I21,Gajar Halwa,Desserts,8,109.0,0.0,0,3,0,0,Cloudy,22.8,0,22,14,0,8
2025-01-02,R01,Bengaluru - Koramangala,I22,Ice Cream Sundae,Desserts,19,129.0,0.0,0,3,0,0,Cloudy,22.8,0,31,12,0,19
2025-01-02,R01,Bengaluru - Koramangala,I23,Masala Chai,Beverages,132,40.0,0.0,0,3,0,0,Cloudy,22.8,0,202,70,0,132
2025-01-02,R01,Bengaluru - Koramangala,I24,Cold Coffee,Beverages,58,99.0,0.0,0,3,0,0,Cloudy,22.8,0,69,11,0,58
2025-01-02,R01,Bengaluru - Koramangala,I25,Fresh Lime Soda,Beverages,41,69.0,0.0,0,3,0,0,Cloudy,22.8,0,68,27,0,41
2025-01-02,R01,Bengaluru - Koramangala,I26,Mango Lassi,Beverages,58,89.0,0.0,0,3,0,0,Cloudy,22.8,0,67,9,0,58
2025-01-02,R01,Bengaluru - Koramangala,I27,Mineral Water,Beverages,89,30.0,0.0,0,3,0,0,Cloudy,22.8,0,122,33,0,89
2025-01-02,R01,Bengaluru - Koramangala,I28,Veg Fried Rice,Biryani & Rice,28,179.0,0.0,0,3,0,0,Cloudy,22.8,0,30,2,0,28
2025-01-02,R01,Bengaluru - Koramangala,I29,Chicken Fried Rice,Biryani & Rice,13,219.0,0.0,0,3,0,0,Cloudy,22.8,0,40,27,0,13
2025-01-02,R01,Bengaluru - Koramangala,I30,Soup of the Day,Starters,17,129.0,0.0,0,3,0,0,Cloudy,22.8,0,47,30,0,17
2025-01-02,R02,Pune - Kalyani Nagar,I01,Chicken Biryani,Biryani & Rice,100,249.0,0.0,0,3,0,0,Cloudy,22.8,0,100,0,0,100
2025-01-02,R02,Pune - Kalyani Nagar,I02,Veg Biryani,Biryani & Rice,16,199.0,0.0,0,3,0,0,Cloudy,22.8,0,53,37,0,16
2025-01-02,R02,Pune - Kalyani Nagar,I03,Mutton Biryani,Biryani & Rice,33,329.0,0.0,0,3,0,0,Cloudy,22.8,0,33,0,1,34
2025-01-02,R02,Pune - Kalyani Nagar,I04,Jeera Rice,Biryani & Rice,19,149.0,0.0,0,3,0,0,Cloudy,22.8,0,25,6,0,19
2025-01-02,R02,Pune - Kalyani Nagar,I05,Butter Chicken,Main Course,74,269.0,0.0,0,3,0,0,Cloudy,22.8,0,74,0,1,76
2025-01-02,R02,Pune - Kalyani Nagar,I06,Paneer Butter Masala,Main Course,55,229.0,0.0,0,3,0,0,Cloudy,22.8,0,73,18,0,55
2025-01-02,R02,Pune - Kalyani Nagar,I07,Dal Makhani,Main Course,39,179.0,0.0,0,3,0,0,Cloudy,22.8,0,51,12,0,39
2025-01-02,R02,Pune - Kalyani Nagar,I08,Chicken Tikka Masala,Main Course,33,259.0,0.0,0,3,0,0,Cloudy,22.8,0,62,29,0,33
2025-01-02,R02,Pune - Kalyani Nagar,I09,Palak Paneer,Main Course,19,209.0,0.0,0,3,0,0,Cloudy,22.8,0,28,9,0,19
2025-01-02,R02,Pune - Kalyani Nagar,I10,Kadai Chicken,Main Course,19,249.0,0.0,0,3,0,0,Cloudy,22.8,0,45,26,0,19
2025-01-02,R02,Pune - Kalyani Nagar,I11,Butter Naan,Breads,87,45.0,0.0,0,3,0,0,Cloudy,22.8,0,94,7,0,87
2025-01-02,R02,Pune - Kalyani Nagar,I12,Garlic Naan,Breads,51,55.0,0.0,0,3,0,0,Cloudy,22.8,0,73,22,0,51
2025-01-02,R02,Pune - Kalyani Nagar,I13,Tandoori Roti,Breads,60,30.0,0.0,0,3,0,0,Cloudy,22.8,0,85,25,0,60
2025-01-02,R02,Pune - Kalyani Nagar,I14,Laccha Paratha,Breads,42,50.0,0.0,0,3,0,0,Cloudy,22.8,0,42,0,1,49
2025-01-02,R02,Pune - Kalyani Nagar,I15,Chicken 65,Starters,55,219.0,0.0,0,3,0,0,Cloudy,22.8,0,67,12,0,55
2025-01-02,R02,Pune - Kalyani Nagar,I16,Paneer Tikka,Starters,41,199.0,0.0,0,3,0,0,Cloudy,22.8,0,43,2,0,41
2025-01-02,R02,Pune - Kalyani Nagar,I17,Veg Spring Rolls,Starters,28,159.0,0.0,0,3,0,0,Cloudy,22.8,0,28,0,1,40
2025-01-02,R02,Pune - Kalyani Nagar,I18,Chicken Lollipop,Starters,22,229.0,0.0,0,3,0,0,Cloudy,22.8,0,30,8,0,22
2025-01-02,R02,Pune - Kalyani Nagar,I19,Gulab Jamun,Desserts,16,89.0,0.0,0,3,0,0,Cloudy,22.8,0,62,46,0,16
2025-01-02,R02,Pune - Kalyani Nagar,I20,Rasmalai,Desserts,26,99.0,0.0,0,3,0,0,Cloudy,22.8,0,31,5,0,26
2025-01-02,R02,Pune - Kalyani Nagar,I21,Gajar Halwa,Desserts,17,109.0,0.0,0,3,0,0,Cloudy,22.8,0,19,2,0,17
2025-01-02,R02,Pune - Kalyani Nagar,I22,Ice Cream Sundae,Desserts,14,129.0,0.0,0,3,0,0,Cloudy,22.8,0,32,18,0,14
2025-01-02,R02,Pune - Kalyani Nagar,I23,Masala Chai,Beverages,112,40.0,0.0,0,3,0,0,Cloudy,22.8,0,112,0,1,130
2025-01-02,R02,Pune - Kalyani Nagar,I24,Cold Coffee,Beverages,52,99.0,0.0,0,3,0,0,Cloudy,22.8,0,52,0,1,69
2025-01-02,R02,Pune - Kalyani Nagar,I25,Fresh Lime Soda,Beverages,29,69.0,0.0,0,3,0,0,Cloudy,22.8,0,51,22,0,29
2025-01-02,R02,Pune - Kalyani Nagar,I26,Mango Lassi,Beverages,36,89.0,0.0,0,3,0,0,Cloudy,22.8,0,43,7,0,36
2025-01-02,R02,Pune - Kalyani Nagar,I27,Mineral Water,Beverages,78,30.0,0.0,0,3,0,0,Cloudy,22.8,0,78,0,1,91
2025-01-02,R02,Pune - Kalyani Nagar,I28,Veg Fried Rice,Biryani & Rice,13,179.0,0.0,0,3,0,0,Cloudy,22.8,0,24,11,0,13
2025-01-02,R02,Pune - Kalyani Nagar,I29,Chicken Fried Rice,Biryani & Rice,21,219.0,0.0,0,3,0,0,Cloudy,22.8,0,23,2,0,21
2025-01-02,R02,Pune - Kalyani Nagar,I30,Soup of the Day,Starters,14,129.0,0.0,0,3,0,0,Cloudy,22.8,0,34,20,0,14
2025-01-02,R03,Hyderabad - Gachibowli,I01,Chicken Biryani,Biryani & Rice,75,249.0,0.0,0,3,0,0,Cloudy,22.8,0,121,46,0,75
2025-01-02,R03,Hyderabad - Gachibowli,I02,Veg Biryani,Biryani & Rice,52,199.0,0.0,0,3,0,0,Cloudy,22.8,0,52,0,1,53
2025-01-02,R03,Hyderabad - Gachibowli,I03,Mutton Biryani,Biryani & Rice,28,329.0,0.0,0,3,0,0,Cloudy,22.8,0,53,25,0,28
2025-01-02,R03,Hyderabad - Gachibowli,I04,Jeera Rice,Biryani & Rice,23,149.0,0.0,0,3,0,0,Cloudy,22.8,0,31,8,0,23
2025-01-02,R03,Hyderabad - Gachibowli,I05,Butter Chicken,Main Course,58,269.0,0.0,0,3,0,0,Cloudy,22.8,0,83,25,0,58
2025-01-02,R03,Hyderabad - Gachibowli,I06,Paneer Butter Masala,Main Course,38,229.0,0.0,0,3,0,0,Cloudy,22.8,0,67,29,0,38
2025-01-02,R03,Hyderabad - Gachibowli,I07,Dal Makhani,Main Course,29,179.0,0.0,0,3,0,0,Cloudy,22.8,0,63,34,0,29
2025-01-02,R03,Hyderabad - Gachibowli,I08,Chicken Tikka Masala,Main Course,38,259.0,0.0,0,3,0,0,Cloudy,22.8,0,54,16,0,38
2025-01-02,R03,Hyderabad - Gachibowli,I09,Palak Paneer,Main Course,37,209.0,0.0,0,3,0,0,Cloudy,22.8,0,41,4,0,37
2025-01-02,R03,Hyderabad - Gachibowli,I10,Kadai Chicken,Main Course,26,249.0,0.0,0,3,0,0,Cloudy,22.8,0,57,31,0,26
2025-01-02,R03,Hyderabad - Gachibowli,I11,Butter Naan,Breads,82,45.0,0.0,0,3,0,0,Cloudy,22.8,0,82,0,1,127
2025-01-02,R03,Hyderabad - Gachibowli,I12,Garlic Naan,Breads,25,55.0,0.0,0,3,0,0,Cloudy,22.8,0,83,58,0,25
2025-01-02,R03,Hyderabad - Gachibowli,I13,Tandoori Roti,Breads,55,30.0,0.0,0,3,0,0,Cloudy,22.8,0,97,42,0,55
2025-01-02,R03,Hyderabad - Gachibowli,I14,Laccha Paratha,Breads,41,50.0,0.0,0,3,0,0,Cloudy,22.8,0,41,0,1,46
2025-01-02,R03,Hyderabad - Gachibowli,I15,Chicken 65,Starters,42,219.0,0.0,0,3,0,0,Cloudy,22.8,0,71,29,0,42
2025-01-02,R03,Hyderabad - Gachibowli,I16,Paneer Tikka,Starters,45,199.0,0.0,0,3,0,0,Cloudy,22.8,0,51,6,0,45
2025-01-02,R03,Hyderabad - Gachibowli,I17,Veg Spring Rolls,Starters,20,159.0,0.0,0,3,0,0,Cloudy,22.8,0,38,18,0,20
2025-01-02,R03,Hyderabad - Gachibowli,I18,Chicken Lollipop,Starters,23,229.0,0.0,0,3,0,0,Cloudy,22.8,0,41,18,0,23
2025-01-02,R03,Hyderabad - Gachibowli,I19,Gulab Jamun,Desserts,58,89.0,0.0,0,3,0,0,Cloudy,22.8,0,58,0,1,70
2025-01-02,R03,Hyderabad - Gachibowli,I20,Rasmalai,Desserts,26,99.0,0.0,0,3,0,0,Cloudy,22.8,0,42,16,0,26
2025-01-02,R03,Hyderabad - Gachibowli,I21,Gajar Halwa,Desserts,16,109.0,0.0,0,3,0,0,Cloudy,22.8,0,22,6,0,16
2025-01-02,R03,Hyderabad - Gachibowli,I22,Ice Cream Sundae,Desserts,26,129.0,0.0,0,3,0,0,Cloudy,22.8,0,26,0,1,29
2025-01-02,R03,Hyderabad - Gachibowli,I23,Masala Chai,Beverages,106,40.0,0.0,0,3,0,0,Cloudy,22.8,0,185,79,0,106
2025-01-02,R03,Hyderabad - Gachibowli,I24,Cold Coffee,Beverages,57,99.0,0.0,0,3,0,0,Cloudy,22.8,0,70,13,0,57
2025-01-02,R03,Hyderabad - Gachibowli,I25,Fresh Lime Soda,Beverages,20,69.0,0.0,0,3,0,0,Cloudy,22.8,0,53,33,0,20
